#Date	Molasses	MOT	Repump	OP	Add. H	Add. V	Lat. X	Lat. Y	Lat. Z	Clearing	Depump
2013-03-14 14:11:44.281000	10.500000	46.000000		5.300000							
2013-03-18 11:16:52.615000	9.600000	43.300000		4.400000	3.400000	3.200000					
2013-03-21 16:01:00.037000						4.600000					
2013-03-21 16:01:06.662000						4.600000					
2013-03-21 16:01:56.521000						4.600000					
2013-03-22 17:37:12.718000					3.000000						
2013-03-25 15:41:31.171000	12.000000	42.700000	100.000000	4.700000	3.500000	5.500000					
2013-03-26 13:58:38.265000					3.200000	5.000000					
2013-03-26 15:35:05.046000	10.000000										
2013-03-29 13:48:31.169000					3.200000	5.400000					
2013-03-29 14:13:54.404000	10.400000										
2013-04-03 15:22:52.138000					2.000000	3.200000					
2013-04-04 15:46:35.560000					3.200000	1.900000					
2013-04-09 16:23:48.768000						3.800000					
2013-04-09 16:39:12.002000					6.400000						
2013-04-22 15:04:52.961000	10.140000										
2013-04-22 15:13:51.602000		37.300000		5.000000							
2013-04-22 15:15:26.164000					4.700000	0.170000					
2013-04-22 15:33:39.492000	7.500000										
2013-05-02 15:02:20.177000					2.450000	6.700000					
2013-05-03 15:25:32.240000	14.000000	33.500000	100.000000	3.600000							
2013-05-03 15:25:35.537000	14.000000	33.500000	100.000000	3.600000							
2013-05-03 15:27:31.584000											
2013-05-03 15:28:17.428000	12.500000	33.300000	100.000000	3.600000							
2013-05-08 10:52:45.818000	7.300000										
2013-05-08 14:04:10.131000					2.240000	6.800000					
2013-05-08 14:33:57.350000					2.000000	7.700000					
2013-05-08 23:23:59.078000						8.300000					
2013-05-10 15:28:22.259000	5.600000										
2013-05-10 15:28:24.103000	5.600000										
2013-05-10 15:28:30.337000	6.000000										
2013-05-10 15:34:29.806000	6.000000										
2013-05-13 14:13:05.603000	7.400000										
2013-05-13 18:04:38.587000					2.800000	9.700000					
2013-05-14 11:54:57.400000					2.600000	9.000000					
2013-05-14 14:12:52.962000					2.400000						
2013-05-14 14:12:55.337000					2.400000						
2013-05-14 14:13:10.509000					2.400000	9.200000					
2013-05-14 14:13:47.743000					2.000000	9.200000					
2013-05-14 14:14:10.900000					1.800000	9.200000					
2013-05-15 16:33:36.296000						9.000000					
2013-05-15 16:33:58.687000						8.000000					
2013-05-16 11:48:53.734000						7.000000					
2013-05-16 12:04:19.453000	9.000000										
2013-05-16 13:59:10.625000	12.400000										
2013-05-16 17:00:20.750000				4.100000							
2013-05-19 14:38:34.840000					2.300000	7.400000					
2013-05-19 14:39:13.449000					1.800000						
2013-05-19 14:40:06.637000					1.500000						
2013-05-21 11:45:12.778000					3.500000	10.000000					
2013-05-22 14:30:04.121000		30.000000									
2013-05-24 14:04:32.828000	10.400000										
2013-05-26 22:52:05.937000		38.000000									
2013-05-28 11:05:04.937000					2.020000						
2013-05-28 11:08:32.203000						8.670000					
2013-05-29 17:28:28.187000	12.200000										
2013-05-31 14:49:39.816000	16.300000			3.200000							
2013-06-13 16:02:09.140000	15.000000										
2013-07-01 10:44:26.971000					2.160000	5.000000					
2013-07-01 11:40:18.362000		35.000000									
2013-07-03 14:19:09.718000	12.000000										
2013-07-03 14:29:20.031000						4.300000					
2013-07-03 14:53:18.562000					2.000000						
2013-07-03 22:23:10.500000		31.000000									
2013-07-05 15:38:50.035000											
2013-07-05 15:38:57.676000		32.000000									
2013-07-07 14:41:22.988000		30.700000									
2013-07-08 13:41:10.785000	10.500000										
2013-07-16 21:37:43.953000	12.900000										
2013-07-17 14:40:57.281000				2.700000							
2013-07-17 17:05:35.953000					2.000000	5.200000					
2013-07-17 17:06:16.562000				4.200000							
2013-07-18 15:22:26.640000				3.800000							
2013-07-19 14:02:37.860000		38.100000									
2013-07-19 17:05:47.625000	12.700000										
2013-07-25 16:27:20.141000		39.500000									
2013-08-01 16:58:05.109000	15.300000										
2013-08-08 10:59:45.111000	15.000000										
2013-08-11 15:43:20.470000		40.700000									
2013-10-14 11:24:38.734000	15.500000										
2013-10-16 14:03:54.656000		38.000000									
2013-10-21 10:40:29.968000	10.400000			5.700000							
2013-10-21 14:07:18.375000	13.000000			6.800000							
2013-10-21 14:13:37.968000				6.500000							
2013-10-21 15:54:21.593000					2.300000	3.700000					
2013-10-23 13:29:43.718000	11.200000										
2013-10-27 14:16:37.062000	8.400000										
2013-10-29 11:20:09.406000				7.000000							
2013-10-30 14:42:03.203000	7.400000										
2013-10-31 20:56:51.183000	11.000000										
2013-11-04 11:53:47.886000	8.000000										
2013-11-04 11:58:15.636000	8.000000										
2013-11-04 16:47:42.167000	6.800000										
2013-11-06 17:37:19.507000	9.500000										
2013-11-07 14:01:54.749000	11.300000										
2013-11-07 21:09:59.999000	10.300000										
2013-11-08 13:52:11.655000	8.100000										
2013-11-08 16:14:06.327000	8.500000										
2013-11-11 11:04:00.109000	7.000000	32.700000		6.100000							
2013-11-11 11:04:01.296000	7.000000	32.700000		6.100000							
2013-11-11 11:30:38.937000	10.000000										
2013-11-11 11:30:40.218000	10.000000										
2013-11-11 11:31:17.343000	10.000000										
2013-11-11 11:31:18.343000	10.000000										
2013-11-11 11:32:25.828000	10.000000										
2013-11-11 15:01:28.500000	10.000000	38.000000	100.000000	6.000000							
2013-11-12 17:02:47.921000		31.000000									
2013-11-14 21:57:34.843000	9.000000										
2013-11-17 14:14:19.390000				9.000000							
2013-11-17 14:33:59.640000	25.500000										
2013-11-17 14:37:24.640000	14.000000			4.800000							
2013-11-18 10:29:23.453000	12.600000										
2013-11-19 10:45:51.312000	10.000000	30.000000									
2013-11-20 15:32:08.593000	7.800000										
2013-11-25 10:40:48.687000	7.700000	25.000000									
2013-11-25 10:40:50.062000	7.700000	25.000000									
2013-11-25 10:41:00.171000	7.700000	30.000000									
2013-11-25 15:18:20.765000		38.000000									
2013-11-25 15:20:52.343000	10.000000										
2013-11-25 15:23:26.281000				8.000000							
2013-11-25 15:24:33.546000				7.000000							
2013-11-25 16:43:37.203000											
2013-11-25 17:10:45.500000				6.500000							
2013-11-26 16:45:27.578000					1.940000	6.000000					
2013-12-03 10:57:45.979000	12.000000										
2013-12-06 15:23:45.069000	8.200000										
2013-12-06 15:23:47.069000	8.200000										
2013-12-09 10:51:12.163000	10.500000										
2013-12-18 14:43:02.138000		30.000000									
2013-12-19 11:37:30.176000	11.700000										
2013-12-19 15:33:44.145000				5.400000							
2013-12-19 16:23:32.221000				9.400000							
2013-12-19 16:23:37.643000				9.400000							
2013-12-19 16:24:14.766000				9.400000							
2013-12-19 16:33:18.030000	12.500000			9.400000							
2014-01-08 10:30:14.668000	10.300000										
2014-01-27 17:42:06.910000					5.550000	6.000000					
2014-02-10 15:26:02.053000	8.000000										
2014-02-10 18:30:58.850000		30.000000									
2014-02-10 18:37:09.209000			100.000000								
2014-02-10 18:37:28.818000		35.400000									
2014-02-11 10:59:10.084000	10.600000				7.000000	8.800000					
2014-02-11 11:00:52.022000				10.500000							
2014-02-11 17:36:35.915000		51.200000									
2014-02-23 18:38:45.265000	11.300000										
2014-02-24 11:47:12.515000					6.300000	8.000000					
2014-02-26 18:13:17.765000					6.600000	11.800000					
2014-02-26 18:44:47.359000	11.700000										
2014-02-27 12:28:53.828000					4.900000	9.600000					
2014-03-03 10:40:44.463000	9.200000										
2014-03-06 15:39:51.947000					5.100000	10.000000					
2014-03-11 10:53:48.095000				7.800000							
2014-03-11 11:37:05.064000				5.000000							
2014-03-11 11:37:07.595000				5.000000							
2014-03-11 11:37:17.204000				5.000000							
2014-03-11 11:37:58.407000				6.000000							
2014-03-11 11:38:33.470000				5.500000							
2014-03-11 11:48:39.610000				5.500000							
2014-03-11 11:56:10.892000				5.000000							
2014-03-11 11:56:53.267000				4.800000							
2014-03-17 16:35:13.528000				4.000000							
2014-04-03 16:24:25.208000				10.300000							
2014-04-06 23:12:40.532000				15.000000							
